TH1.Print Name  = h1DSSD1e, Entries= 3456932, Total sum= 3.45693e+006
 fSumw[188]=117, x=75, error=10.8167
 fSumw[189]=130, x=75.4, error=11.4018
 fSumw[190]=138, x=75.8, error=11.7473
 fSumw[191]=119, x=76.2, error=10.9087
 fSumw[192]=115, x=76.6, error=10.7238
 fSumw[193]=131, x=77, error=11.4455
 fSumw[194]=110, x=77.4, error=10.4881
 fSumw[195]=120, x=77.8, error=10.9545
 fSumw[196]=122, x=78.2, error=11.0454
 fSumw[197]=137, x=78.6, error=11.7047
 fSumw[198]=129, x=79, error=11.3578
 fSumw[199]=120, x=79.4, error=10.9545
 fSumw[200]=122, x=79.8, error=11.0454
 fSumw[201]=119, x=80.2, error=10.9087
 fSumw[202]=114, x=80.6, error=10.6771
 fSumw[203]=122, x=81, error=11.0454
 fSumw[204]=108, x=81.4, error=10.3923
 fSumw[205]=128, x=81.8, error=11.3137
 fSumw[206]=131, x=82.2, error=11.4455
 fSumw[207]=118, x=82.6, error=10.8628
 fSumw[208]=111, x=83, error=10.5357
 fSumw[209]=107, x=83.4, error=10.3441
 fSumw[210]=123, x=83.8, error=11.0905
 fSumw[211]=122, x=84.2, error=11.0454
 fSumw[212]=124, x=84.6, error=11.1355
 fSumw[213]=120, x=85, error=10.9545
 fSumw[214]=132, x=85.4, error=11.4891
 fSumw[215]=121, x=85.8, error=11
 fSumw[216]=138, x=86.2, error=11.7473
 fSumw[217]=125, x=86.6, error=11.1803
 fSumw[218]=119, x=87, error=10.9087
 fSumw[219]=134, x=87.4, error=11.5758
 fSumw[220]=118, x=87.8, error=10.8628
 fSumw[221]=136, x=88.2, error=11.6619
 fSumw[222]=139, x=88.6, error=11.7898
 fSumw[223]=125, x=89, error=11.1803
 fSumw[224]=120, x=89.4, error=10.9545
 fSumw[225]=141, x=89.8, error=11.8743
 fSumw[226]=109, x=90.2, error=10.4403
 fSumw[227]=141, x=90.6, error=11.8743
 fSumw[228]=139, x=91, error=11.7898
 fSumw[229]=152, x=91.4, error=12.3288
 fSumw[230]=123, x=91.8, error=11.0905
 fSumw[231]=107, x=92.2, error=10.3441
 fSumw[232]=118, x=92.6, error=10.8628
 fSumw[233]=104, x=93, error=10.198
 fSumw[234]=122, x=93.4, error=11.0454
 fSumw[235]=136, x=93.8, error=11.6619
 fSumw[236]=121, x=94.2, error=11
 fSumw[237]=127, x=94.6, error=11.2694
 fSumw[238]=106, x=95, error=10.2956
 fSumw[239]=121, x=95.4, error=11
 fSumw[240]=114, x=95.8, error=10.6771
 fSumw[241]=143, x=96.2, error=11.9583
 fSumw[242]=98, x=96.6, error=9.89949
 fSumw[243]=116, x=97, error=10.7703
 fSumw[244]=125, x=97.4, error=11.1803
 fSumw[245]=131, x=97.8, error=11.4455
 fSumw[246]=118, x=98.2, error=10.8628
 fSumw[247]=128, x=98.6, error=11.3137
 fSumw[248]=127, x=99, error=11.2694
 fSumw[249]=117, x=99.4, error=10.8167
 fSumw[250]=125, x=99.8, error=11.1803
 fSumw[251]=127, x=100.2, error=11.2694
 fSumw[252]=119, x=100.6, error=10.9087
 fSumw[253]=119, x=101, error=10.9087
 fSumw[254]=126, x=101.4, error=11.225
